PM2.5 AQI Value,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
21,Good,,,,,,,,,,,,,,
25,Good,15.9,20.6,12.2,1020.3,72,0,16.1,11.3,25.9,37,,,,
56,Moderate,23.2,32.2,13.3,1019.3,69,0,15,14.1,22.2,25.9,,,,
59,Moderate,23.6,32.8,17.8,1018.1,63,0,15.9,13,25.9,-,,,,
43,Good,,,,,,,,,,,o,,o,
34,Good,,,,,,,,,,,,,,
40,Good,,,,,,,,,,,,,,
56,Moderate,26.8,32.8,15,1019.2,66,0,16.1,14.6,20.6,-,,,,
58,Moderate,21.6,32.8,17.8,1020.9,83,0,8.2,9.4,18.3,-,,,,o
30,Good,24.3,27.8,17.8,1019.2,76,0,15.6,21.7,38.9,53.5,,,,
23,Good,,,,,,,,,,,o,,,
40,Good,,,,,,,,,,,,,,
43,Good,,,,,,,,,,,,,,
33,Good,15.9,22.2,8.9,1023.9,51,0,16.1,8.9,20.6,31.7,,,,
43,Good,18.7,26.1,8.9,1022,50,0,16.1,15.6,25.9,38.9,,,,
56,Moderate,23.1,28.9,11.1,1015.5,58,0,16.1,16.9,25.9,-,,,,
55,Moderate,,,,,,,,,,,o,,,
28,Good,,,,,,,,,,,o,,o,
28,Good,,,,,,,,,,,o,,,
30,Good,20.3,27.2,13.9,1020.2,60,0,16.1,10.6,18.3,-,,,,
43,Good,23.4,30.6,13.9,1020.5,59,0,16.1,14.6,27.8,37,,,,
50,Good,26.3,32.2,16.7,1015.8,60,0,16.1,18.7,27.8,35.2,,,,
48,Good,,,,,,,,,,,,,o,
18,Good,,,,,,,,,,,o,,o,
19,Good,,,,,,,,,,,,,,
22,Good,18.3,24.4,12.8,1020.7,69,0,15.6,13.5,25.9,31.7,,,,
16,Good,17.1,24.4,11.1,1026.3,58,0,16.1,13.1,24.1,31.7,,,,
22,Good,17.2,25.6,8.3,1024.5,55,0,16.1,9.3,24.1,-,,,,
42,Good,21.9,30.6,8.3,1017.1,57,0,16.1,11.3,18.3,-,,,,
59,Moderate,,,,,,,,,,,o,,,
42,Good,,,,,,,,,,,o,,o,
38,Good,,,,,,,,,,,,,,
40,Good,21.4,27.2,15,1015.7,60,0,16.1,8.3,16.5,-,,,,o
34,Good,22.2,28.3,15,1014.8,59,0,16.1,11.5,27.8,31.7,,,,
29,Good,24.2,28.3,15,1013.3,69,0,16.1,14.3,20.6,35.2,o,,,
40,Good,,,,,,,,,,,,,,
59,Moderate,,,,,,,,,,,o,,,o
28,Good,,,,,,,,,,,o,,,o
32,Good,22.4,22.8,21.7,1010.6,95,0,16.1,6.9,13,-,,,,
33,Good,23.3,31.1,20.6,1014.1,71,7.37,16.1,13.9,31.7,33.5,o,,o,
22,Good,21.1,27.2,16.1,1020.2,63,0,16.1,8.7,14.8,-,,,,
60,Moderate,,,,,,,,,,,,,,
56,Moderate,,,,,,,,,,,,,,
58,Moderate,28.7,35.6,20.6,1015.9,62,0,15.3,17,59.4,77.8,o,,o,o
38,Good,24.1,35.6,20.6,1015.2,78,27.94,15.4,9.6,20.6,-,o,,,
33,Good,23.6,28.3,20.6,1012.4,82,16.76,15.3,10.2,24.1,-,o,,,
23,Good,,,,,,,,,,,o,,,
17,Good,,,,,,,,,,,,,,
19,Good,,,,,,,,,,,,,,
40,Good,26.7,31.7,18.3,1015.7,78,0,16.1,13.3,35.2,38.9,o,,,
44,Good,27.2,31.7,23.9,1012.7,73,1.27,15.6,15.9,24.1,33.5,o,,,
48,Good,25.6,31.1,21.7,1016.7,78,0.51,16.1,9.6,24.1,33.5,,,,
19,Good,,,,,,,,,,,,,,
15,Good,,,,,,,,,,,,,,
15,Good,,,,,,,,,,,,,,
28,Good,26.4,31.1,17.2,1014.9,71,0,16.1,15.2,29.4,48.2,,,,
40,Good,28.4,33.9,21.1,1013.5,70,0,15.9,19.8,29.4,38.9,o,,,
53,Moderate,28.8,33.9,24.4,1014.9,72,0,16.1,22,31.7,42.4,,,,
29,Good,,,,,,,,,,,o,,o,
27,Good,,,,,,,,,,,,,,
29,Good,,,,,,,,,,,,,,
42,Good,26.1,32.2,15,1015.7,62,0,16.1,20,31.7,42.4,,,,
53,Moderate,28.7,33.9,20,1013.4,62,0,16.1,22.4,29.4,42.4,,,,
55,Moderate,28.1,33.9,22.2,1013.4,67,0,14.6,22,33.5,51.9,o,,o,
54,Moderate,,,,,,,,,,,o,,o,o
35,Good,,,,,,,,,,,,,,
29,Good,,,,,,,,,,,,,,
